Distance,Side,Temperature,Humidity,Pressure,Visibility,Wind_Direction,Wind_Speed,Precipitation,Weather_Condition,Junction,Traffic_Signal,Sunrise_Sunset,highway,oneway,lanes,maxspeed,sev_cat
0.01,R,37.4,100.0,29.62,3.0,SW,4.6,0.02,Rain,False,False,Day,primary,False,4,45,Major below 75
0.01,R,37.0,93.0,30.34,10.0,W,9.2,0.0,Cloudy,False,False,Night,primary,False,4,45,Major below 75
0.0,R,37.9,86.0,29.96,10.0,NW,10.4,0.0,Cloudy,False,False,Night,primary,False,4,45,Major below 75
0.0,R,42.0,82.0,29.83,9.0,CALM,0.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major 125 to 250
0.0,R,48.0,74.0,30.14,10.0,CALM,0.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major 125 to 250
0.0,R,76.0,71.0,29.89,10.0,VAR,6.0,0.0,Cloudy,False,False,Day,residential,False,2,25,Major 125 to 250
0.0,R,70.0,90.0,29.62,2.0,S,5.0,0.08,Rain,False,False,Day,residential,False,2,25,Major 125 to 250
0.0,R,58.0,51.0,29.85,10.0,NE,3.0,0.0,Cloudy,False,False,Day,residential,False,2,25,Major 125 to 250
1.764,R,30.2,93.0,29.98,1.2,NE,10.4,0.0,Snow,False,False,Day,residential,False,2,25,Major above 250
1.158,R,56.0,37.0,29.01,10.0,CALM,0.0,0.0,Fair,False,False,Night,residential,False,2,25,Major above 250
1.158,R,55.0,37.0,29.0,10.0,SW,3.0,0.0,Fair,False,False,Night,residential,False,2,25,Major above 250
1.158,R,56.0,37.0,29.01,10.0,CALM,0.0,0.0,Fair,False,False,Night,residential,False,2,25,Major above 250
0.0,L,19.0,84.0,29.25,10.0,SW,3.0,0.0,Fair,False,False,Night,trunk,True,1,45,Major above 250
0.0,L,32.0,44.0,30.42,10.0,VAR,3.0,0.0,Fair,False,False,Day,tertiary,True,3,25,Major below 75
0.0,L,52.0,69.0,30.0,10.0,NW,3.0,0.0,Fair,False,False,Night,tertiary,True,3,25,Major below 75
